Product_ID,Title,Price,Category,Brand,Rating,Stock,Discount_Percentage
48,Bamboo Spatula,7.99,kitchen-accessories,Not Available,3.27,37,2.84
49,Black Aluminium Cup,5.99,kitchen-accessories,Not Available,4.46,75,15.65
50,Black Whisk,9.99,kitchen-accessories,Not Available,3.9,73,10.24
51,Boxed Blender,39.99,kitchen-accessories,Not Available,4.56,9,7.26
52,Carbon Steel Wok,29.99,kitchen-accessories,Not Available,4.05,40,6.53
53,Chopping Board,12.99,kitchen-accessories,Not Available,3.7,14,8.03
54,Citrus Squeezer Yellow,8.99,kitchen-accessories,Not Available,4.63,22,12.1
55,Egg Slicer,6.99,kitchen-accessories,Not Available,3.09,40,14.76
56,Electric Stove,49.99,kitchen-accessories,Not Available,4.11,21,14.04
57,Fine Mesh Strainer,9.99,kitchen-accessories,Not Available,3.04,85,3.5
58,Fork,3.99,kitchen-accessories,Not Available,3.11,7,8.07
59,Glass,4.99,kitchen-accessories,Not Available,4.02,46,7.92
60,Grater Black,10.99,kitchen-accessories,Not Available,3.21,84,3.56
61,Hand Blender,34.99,kitchen-accessories,Not Available,3.86,84,17.02
62,Ice Cube Tray,5.99,kitchen-accessories,Not Available,4.71,13,0.63
63,Kitchen Sieve,7.99,kitchen-accessories,Not Available,3.09,68,18.91
64,Knife,14.99,kitchen-accessories,Not Available,3.26,7,18.86
65,Lunch Box,12.99,kitchen-accessories,Not Available,4.93,94,10.34
66,Microwave Oven,89.99,kitchen-accessories,Not Available,4.82,59,12.13
67,Mug Tree Stand,15.99,kitchen-accessories,Not Available,2.64,88,9.25
68,Pan,24.99,kitchen-accessories,Not Available,2.79,90,3.0
69,Plate,3.99,kitchen-accessories,Not Available,3.65,66,7.31
70,Red Tongs,6.99,kitchen-accessories,Not Available,4.42,82,14.52
71,Silver Pot With Glass Cap,39.99,kitchen-accessories,Not Available,3.22,40,5.7
72,Slotted Turner,8.99,kitchen-accessories,Not Available,3.4,88,13.35
73,Spice Rack,19.99,kitchen-accessories,Not Available,4.87,79,12.09
74,Spoon,4.99,kitchen-accessories,Not Available,4.03,59,1.53
75,Tray,16.99,kitchen-accessories,Not Available,4.62,71,7.48
76,Wooden Rolling Pin,11.99,kitchen-accessories,Not Available,2.92,80,9.75
77,Yellow Peeler,5.99,kitchen-accessories,Not Available,4.24,35,12.48
78,Apple MacBook Pro 14 Inch Space Grey,1999.99,laptops,Apple,3.65,24,4.69
79,Asus Zenbook Pro Dual Screen Laptop,1799.99,laptops,Asus,3.95,45,11.14
80,Huawei Matebook X Pro,1399.99,laptops,Huawei,4.98,75,9.38
81,Lenovo Yoga 920,1099.99,laptops,Lenovo,2.86,40,6.55
82,New DELL XPS 13 9300 Laptop,1499.99,laptops,Dell,2.67,74,11.89
83,Blue & Black Check Shirt,29.99,mens-shirts,Fashion Trends,3.64,38,15.35
84,Gigabyte Aorus Men Tshirt,24.99,mens-shirts,Gigabyte,3.18,90,0.94
85,Man Plaid Shirt,34.99,mens-shirts,Classic Wear,3.46,82,19.5
86,Man Short Sleeve Shirt,19.99,mens-shirts,Casual Comfort,2.9,2,6.83
87,Men Check Shirt,27.99,mens-shirts,Urban Chic,2.72,95,11.38
88,Nike Air Jordan 1 Red And Black,149.99,mens-shoes,Nike,4.77,7,4.12
89,Nike Baseball Cleats,79.99,mens-shoes,Nike,3.88,12,18.04
90,Puma Future Rider Trainers,89.99,mens-shoes,Puma,4.9,90,4.2
91,Sports Sneakers Off White & Red,119.99,mens-shoes,Off White,4.77,17,4.97
92,Sports Sneakers Off White Red,109.99,mens-shoes,Off White,4.69,62,0.04
93,Brown Leather Belt Watch,89.99,mens-watches,Fashion Timepieces,4.19,32,5.99
94,Longines Master Collection,1499.99,mens-watches,Longines,3.87,100,17.24
95,Rolex Cellini Date Black Dial,8999.99,mens-watches,Rolex,4.97,40,8.88
96,Rolex Cellini Moonphase,12999.99,mens-watches,Rolex,2.58,36,17.52
97,Rolex Datejust,10999.99,mens-watches,Rolex,3.66,86,3.73
98,Rolex Submariner Watch,13999.99,mens-watches,Rolex,2.69,55,5.05
99,Amazon Echo Plus,99.99,mobile-accessories,Amazon,4.99,61,12.07
100,Apple Airpods,129.99,mobile-accessories,Apple,4.15,67,15.54
